TYPE,COMMON-NAME,FRENCH-NAME,ENGLISH-NAME,CODE,CODE-NUMBER
,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,GBAN,2.0
,Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,GRRO,1.0
,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,YBCU,1.0
,Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,MACU,2.0
,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,BBCU,1.0
,Lesser Nighthawk,Engoulevent minime,Chordeiles acutipennis,LENI,1.0
,Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,CONI,1.0
,Antillean Nighthawk,Engoulevent piramidig,Chordeiles gundlachii,ANNI,2.0
,Common Pauraque,Engoulevent pauraqué,Nyctidromus albicollis,COPA,2.0
,Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,COPO,1.0
,Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,CWWI,1.0
,Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,EWPW,1.0
,Mexican Whip-poor-will,Engoulevent d'Arizona,Antrostomus arizonae,MWPW,2.0
,Black Swift,Martinet sombre,Cypseloides niger,BLSW,2.0
,Chimney Swift,Martinet ramoneur,Chaetura pelagica,CHSW,1.0
,Vaux's Swift,Martinet de Vaux,Chaetura vauxi,VASW,1.0
,White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,WTSW,1.0
,Rivoli's Hummingbird,Colibri de Rivoli,Eugenes fulgens,RIHU,2.0
,Blue-throated Mountain-gem,Colibri à gorge bleue,Lampornis clemenciae,BTMG,2.0
,Lucifer Hummingbird,Colibri lucifer,Calothorax lucifer,LUHU,2.0
,Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,RTHU,1.0
,Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,BCHU,1.0
,Anna's Hummingbird,Colibri d'Anna,Calypte anna,ANHU,1.0
,Costa's Hummingbird,Colibri de Costa,Calypte costae,COHU,1.0
,Calliope Hummingbird,Colibri calliope,Selasphorus calliope,CAHU,1.0
,Rufous Hummingbird,Colibri roux,Selasphorus rufus,RUHU,1.0
,Allen's Hummingbird,Colibri d'Allen,Selasphorus sasin,ALHU,1.0
,Broad-tailed Hummingbird,Colibri à queue large,Selasphorus platycercus,BTHU,1.0
,Broad-billed Hummingbird,Colibri circé,Cynanthus latirostris,BBIH,2.0
,Violet-crowned Hummingbird,Ariane à couronne violette,Leucolia violiceps,VCHU,2.0
,Buff-bellied Hummingbird,Ariane du Yucatan,Amazilia yucatanensis,BBEH,2.0
,Ridgway's Rail,Râle de Californie,Rallus obsoletus,RIRA,2.0
,Clapper Rail,Râle tapageur,Rallus crepitans,CLRA,1.0
,King Rail,Râle élégant,Rallus elegans,KIRA,1.0
,Virginia Rail,Râle de Virginie,Rallus limicola,VIRA,1.0
,Sora,Marouette de Caroline,Porzana carolina,SORA,1.0
,Common Gallinule,Gallinule d'Amérique,Gallinula galeata,COGA,1.0
,Hawaiian Coot,Foulque des Hawaï,Fulica alai,HACO,2.0
,American Coot,Foulque d'Amérique,Fulica americana,AMCO,1.0
,Purple Gallinule,Talève violacée,Porphyrio martinicus,PUGA,1.0
,Purple Swamphen,Talève sultane,Porphyrio porphyrio,PUSW,2.0
,Yellow Rail,Râle jaune,Coturnicops noveboracensis,YERA,2.0
,Black Rail,Râle noir,Laterallus jamaicensis,BLRA,2.0
,Limpkin,Courlan brun,Aramus guarauna,LIMP,2.0
,Sandhill Crane,Grue du Canada,Antigone canadensis,SACR,1.0
,Whooping Crane,Grue blanche,Grus americana,WHCR,2.0
,Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,BNST,1.0
,American Avocet,Avocette d'Amérique,Recurvirostra americana,AMAV,1.0
,American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,AMOY,1.0
,Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,BLOY,1.0
,Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,BBPL,1.0
,American Golden-Plover,Pluvier bronzé,Pluvialis dominica,AMGP,1.0
,Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,PAGP,2.0
,Killdeer,Pluvier kildir,Charadrius vociferus,KILL,1.0
,Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,SEPL,1.0
,Piping Plover,Pluvier siffleur,Charadrius melodus,PIPL,2.0
,Wilson's Plover,Pluvier de Wilson,Charadrius wilsonia,WIPL,1.0
,Mountain Plover,Pluvier montagnard,Charadrius montanus,MOPL,2.0
,Snowy Plover,Pluvier neigeux,Charadrius nivosus,SNPL,1.0
,Upland Sandpiper,Maubèche des champs,Bartramia longicauda,UPSA,1.0
,Bristle-thighed Curlew,Courlis d'Alaska,Numenius tahitiensis,BTCU,2.0
,Whimbrel,Courlis corlieu,Numenius phaeopus,WHIM,1.0
,Long-billed Curlew,Courlis à long bec,Numenius americanus,LBCU,1.0
,Bar-tailed Godwit,Barge rousse,Limosa lapponica,BTGO,2.0
,Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,HUGO,1.0
,Marbled Godwit,Barge marbrée,Limosa fedoa,MAGO,1.0
,Ruddy Turnstone,Tournepierre à collier,Arenaria interpres,RUTU,1.0
,Black Turnstone,Tournepierre noir,Arenaria melanocephala,BLTU,1.0
,Red Knot,Bécasseau maubèche,Calidris canutus,REKN,1.0
,Surfbird,Bécasseau du ressac,Calidris virgata,SURF,1.0
,Stilt Sandpiper,Bécasseau à échasses,Calidris himantopus,STSA,1.0
,Sanderling,Bécasseau sanderling,Calidris alba,SAND,1.0
,Dunlin,Bécasseau variable,Calidris alpina,DUNL,1.0
,Rock Sandpiper,Bécasseau des Aléoutiennes,Calidris ptilocnemis,ROSA,2.0
,Purple Sandpiper,Bécasseau violet,Calidris maritima,PUSA,1.0
,Baird's Sandpiper,Bécasseau de Baird,Calidris bairdii,BASA,1.0
,Least Sandpiper,Bécasseau minuscule,Calidris minutilla,LESA,1.0
,White-rumped Sandpiper,Bécasseau à croupion blanc,Calidris fuscicollis,WRSA,1.0
,Buff-breasted Sandpiper,Bécasseau roussâtre,Calidris subruficollis,BBSA,1.0
,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Calidris melanotos,PESA,1.0
,Semipalmated Sandpiper,Bécasseau semipalmé,Calidris pusilla,SESA,1.0
,Western Sandpiper,Bécasseau d'Alaska,Calidris mauri,WESA,1.0
,Short-billed Dowitcher,Bécassin roux,Limnodromus griseus,SBDO,1.0
,Long-billed Dowitcher,Bécassin à long bec,Limnodromus scolopaceus,LBDO,1.0
,American Woodcock,Bécasse d'Amérique,Scolopax minor,AMWO,1.0
,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,WISN,1.0
,Spotted Sandpiper,Chevalier grivelé,Actitis macularius,SPSA,1.0
,Solitary Sandpiper,Chevalier solitaire,Tringa solitaria,SOSA,1.0
,Wandering Tattler,Chevalier errant,Tringa incana,WATA,1.0
,Lesser Yellowlegs,Petit Chevalier,Tringa flavipes,LEYE,1.0
,Willet,Chevalier semipalmé,Tringa semipalmata,WILL,1.0
,Greater Yellowlegs,Grand Chevalier,Tringa melanoleuca,GRYE,1.0
,Wood Sandpiper,Chevalier sylvain,Tringa glareola,WOSA,2.0
,Wilson's Phalarope,Phalarope de Wilson,Phalaropus tricolor,WIPH,1.0
,Red-necked Phalarope,Phalarope à bec étroit,Phalaropus lobatus,RNPH,1.0
,Red Phalarope,Phalarope à bec large,Phalaropus fulicarius,REPH,1.0
,South Polar Skua,Labbe de McCormick,Stercorarius maccormicki,SPSK,2.0
,Pomarine Jaeger,Labbe pomarin,Stercorarius pomarinus,POJA,1.0
,Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,PAJA,1.0
,Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,LTJA,1.0
,Dovekie,Mergule nain,Alle alle,DOVE,2.0
,Common Murre,Guillemot marmette,Uria aalge,COMU,1.0
,Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,TBMU,1.0
,Razorbill,Petit Pingouin,Alca torda,RAZO,1.0
,Black Guillemot,Guillemot à miroir,Cepphus grylle,BLGU,1.0
,Pigeon Guillemot,Guillemot colombin,Cepphus columba,PIGU,1.0
,Marbled Murrelet,Guillemot marbré,Brachyramphus marmoratus,MAMU,1.0
,Kittlitz's Murrelet,Guillemot de Kittlitz,Brachyramphus brevirostris,KIMU,2.0
,Scripps's Murrelet,Guillemot de Scripps,Synthliboramphus scrippsi,SCMU,2.0
,Ancient Murrelet,Guillemot à cou blanc,Synthliboramphus antiquus,ANMU,2.0
,Cassin's Auklet,Starique de Cassin,Ptychoramphus aleuticus,CAAU,1.0
,Parakeet Auklet,Starique perroquet,Aethia psittacula,PAAU,2.0
,Least Auklet,Starique minuscule,Aethia pusilla,LEAU,2.0
,Whiskered Auklet,Starique pygmée,Aethia pygmaea,WHAU,2.0
,Crested Auklet,Starique cristatelle,Aethia cristatella,CRAU,2.0
,Rhinoceros Auklet,Macareux rhinocéros,Cerorhinca monocerata,RHAU,1.0
,Atlantic Puffin,Macareux moine,Fratercula arctica,ATPU,1.0
,Horned Puffin,Macareux cornu,Fratercula corniculata,HOPU,1.0
,Tufted Puffin,Macareux huppé,Fratercula cirrhata,TUPU,1.0
,Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,BLKI,1.0
,Red-legged Kittiwake,Mouette des brumes,Rissa brevirostris,RLKI,2.0
,Sabine's Gull,Mouette de Sabine,Xema sabini,SAGU,1.0
,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,BOGU,1.0
,Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,BHGU,2.0
,Little Gull,Mouette pygmée,Hydrocoloeus minutus,LIGU,2.0
,Laughing Gull,Mouette atricille,Leucophaeus atricilla,LAGU,1.0
,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,FRGU,1.0
,Heermann's Gull,Goéland de Heermann,Larus heermanni,HEEG,1.0
,Mew Gull,Goéland cendré,Larus canus,MEGU,1.0
,Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,RBGU,1.0
,Western Gull,Goéland d'Audubon,Larus occidentalis,WEGU,1.0
,California Gull,Goéland de Californie,Larus californicus,CAGU,1.0
,Herring Gull,Goéland argenté,Larus argentatus,HERG,1.0
,Iceland Gull,Goéland arctique,Larus glaucoides,ICGU,1.0
,Lesser Black-backed Gull,Goéland brun,Larus fuscus,LBBG,2.0
,Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,GWGU,1.0
,Glaucous Gull,Goéland bourgmestre,Larus hyperboreus,GLGU,1.0
,Great Black-backed Gull,Goéland marin,Larus marinus,GBBG,1.0
,Brown Noddy,Noddi brun,Anous stolidus,BRNO,2.0
,Black Noddy,Noddi noir,Anous minutus,BLNO,2.0
,White Tern,Gygis blanche,Gygis alba,WHTT,2.0
,Sooty Tern,Sterne fuligineuse,Onychoprion fuscatus,SOTE,2.0
,Gray-backed Tern,Sterne à dos gris,Onychoprion lunatus,GBAT,2.0
,Bridled Tern,Sterne bridée,Onychoprion anaethetus,BRTE,2.0
,Aleutian Tern,Sterne des Aléoutiennes,Onychoprion aleuticus,ALTE,2.0
,Least Tern,Petite Sterne,Sternula antillarum,LETE,1.0
,Gull-billed Tern,Sterne hansel,Gelochelidon nilotica,GBTE,1.0
,Caspian Tern,Sterne caspienne,Hydroprogne caspia,CATE,1.0
,Black Tern,Guifette noire,Chlidonias niger,BLTE,1.0
,Roseate Tern,Sterne de Dougall,Sterna dougallii,ROST,2.0
,Common Tern,Sterne pierregarin,Sterna hirundo,COTE,1.0
,Arctic Tern,Sterne arctique,Sterna paradisaea,ARTE,1.0
,Forster's Tern,Sterne de Forster,Sterna forsteri,FOTE,1.0
,Royal Tern,Sterne royale,Thalasseus maximus,ROYT,1.0
,Sandwich Tern,Sterne caugek,Thalasseus sandvicensis,SATE,1.0
,Elegant Tern,Sterne élégante,Thalasseus elegans,ELTE,1.0
,Black Skimmer,Bec-en-ciseaux noir,Rynchops niger,BLSK,1.0
,White-tailed Tropicbird,Phaéton à bec jaune,Phaethon lepturus,WTTR,2.0
,Red-throated Loon,Plongeon catmarin,Gavia stellata,RTLO,1.0
,Arctic Loon,Plongeon arctique,Gavia arctica,ARLO,2.0
,Pacific Loon,Plongeon du Pacifique,Gavia pacifica,PALO,1.0
,Common Loon,Plongeon huard,Gavia immer,COLO,1.0
,Yellow-billed Loon,Plongeon à bec blanc,Gavia adamsii,YBLO,2.0
,Laysan Albatross,Albatros de Laysan,Phoebastria immutabilis,LAAL,2.0
,Black-footed Albatross,Albatros à pieds noirs,Phoebastria nigripes,BFAL,1.0
,Wilson's Storm-Petrel,Océanite de Wilson,Oceanites oceanicus,WISP,1.0
,Fork-tailed Storm-Petrel,Océanite à queue fourchue,Hydrobates furcatus,FTSP,2.0
,Leach's Storm-Petrel,Océanite cul-blanc,Hydrobates leucorhous,LESP,1.0
,Ashy Storm-Petrel,Océanite cendré,Hydrobates homochroa,ASSP,2.0
,Band-rumped Storm-Petrel,Océanite de Castro,Hydrobates castro,BSTP,2.0
,Black Storm-Petrel,Océanite noir,Hydrobates melania,BLSP,2.0
,Northern Fulmar,Fulmar boréal,Fulmarus glacialis,NOFU,1.0
,Mottled Petrel,Pétrel maculé,Pterodroma inexpectata,MOPE,2.0
,Black-capped Petrel,Pétrel diablotin,Pterodroma hasitata,BCPE,2.0
,Cory's Shearwater,Puffin cendré,Calonectris diomedea,CORS,1.0
,Wedge-tailed Shearwater,Puffin fouquet,Ardenna pacifica,WTSH,2.0
,Buller's Shearwater,Puffin de Buller,Ardenna bulleri,BULS,2.0
,Short-tailed Shearwater,Puffin à bec grêle,Ardenna tenuirostris,STTS,2.0
,Sooty Shearwater,Puffin fuligineux,Ardenna grisea,SOSH,1.0
,Great Shearwater,Puffin majeur,Ardenna gravis,GRSH,1.0
,Pink-footed Shearwater,Puffin à pieds roses,Ardenna creatopus,PFSH,1.0
,Manx Shearwater,Puffin des Anglais,Puffinus puffinus,MASH,2.0
,Black-vented Shearwater,Puffin cul-noir,Puffinus opisthomelas,BVSH,2.0
,Audubon's Shearwater,Puffin d'Audubon,Puffinus lherminieri,AUSH,1.0
,Wood Stork,Tantale d'Amérique,Mycteria americana,WOST,1.0
,Magnificent Frigatebird,Frégate superbe,Fregata magnificens,MAFR,1.0
,Brown Booby,Fou brun,Sula leucogaster,BRBO,2.0
,Red-footed Booby,Fou à pieds rouges,Sula sula,RFBO,2.0
,Northern Gannet,Fou de Bassan,Morus bassanus,NOGA,1.0
,Anhinga,Anhinga d'Amérique,Anhinga anhinga,ANHI,1.0
,Brandt's Cormorant,Cormoran de Brandt,Phalacrocorax penicillatus,BRAC,1.0
,Red-faced Cormorant,Cormoran à face rouge,Phalacrocorax urile,RFCO,2.0
,Pelagic Cormorant,Cormoran pélagique,Phalacrocorax pelagicus,PECO,1.0
,Great Cormorant,Grand Cormoran,Phalacrocorax carbo,GRCO,1.0
,Double-crested Cormorant,Cormoran à aigrettes,Phalacrocorax auritus,DCCO,1.0
,Neotropic Cormorant,Cormoran vigua,Phalacrocorax brasilianus,NECO,1.0
,American White Pelican,Pélican d'Amérique,Pelecanus erythrorhynchos,AWPE,1.0
,Brown Pelican,Pélican brun,Pelecanus occidentalis,BRPE,1.0
,American Bittern,Butor d'Amérique,Botaurus lentiginosus,AMBI,1.0
,Least Bittern,Petit Blongios,Ixobrychus exilis,LEBI,1.0
,Great Blue Heron,Grand Héron,Ardea herodias,GBHE,1.0
,Great Egret,Grande Aigrette,Ardea alba,GREG,1.0
,Snowy Egret,Aigrette neigeuse,Egretta thula,SNEG,1.0
,Little Blue Heron,Aigrette bleue,Egretta caerulea,LBHE,1.0
,Tricolored Heron,Aigrette tricolore,Egretta tricolor,TRHE,1.0
,Reddish Egret,Aigrette roussâtre,Egretta rufescens,REEG,1.0
,Cattle Egret,Héron garde-boeufs,Bubulcus ibis,CAEG,1.0
,Green Heron,Héron vert,Butorides virescens,GRHE,1.0
,Black-crowned Night-Heron,Bihoreau gris,Nycticorax nycticorax,BCNH,1.0
,Yellow-crowned Night-Heron,Bihoreau violacé,Nyctanassa violacea,YCNH,1.0
,White Ibis,Ibis blanc,Eudocimus albus,WHIB,1.0
,Glossy Ibis,Ibis falcinelle,Plegadis falcinellus,GLIB,1.0
,White-faced Ibis,Ibis à face blanche,Plegadis chihi,WFIB,1.0
,Roseate Spoonbill,Spatule rosée,Platalea ajaja,ROSP,1.0
,California Condor,Condor de Californie,Gymnogyps californianus,CACO,2.0
,Black Vulture,Urubu noir,Coragyps atratus,BLVU,1.0
,Turkey Vulture,Urubu à tête rouge,Cathartes aura,TUVU,1.0
,Osprey,Balbuzard pêcheur,Pandion haliaetus,OSPR,1.0
,White-tailed Kite,Élanion à queue blanche,Elanus leucurus,WTKI,1.0
,Swallow-tailed Kite,Naucler à queue fourchue,Elanoides forficatus,STKI,1.0
,Golden Eagle,Aigle royal,Aquila chrysaetos,GOEA,1.0
,Northern Harrier,Busard des marais,Circus hudsonius,NOHA,1.0
,Sharp-shinned Hawk,Épervier brun,Accipiter striatus,SSHA,1.0
,Cooper's Hawk,Épervier de Cooper,Accipiter cooperii,COHA,1.0
,Northern Goshawk,Autour des palombes,Accipiter gentilis,NOGO,1.0
,Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,BAEA,1.0
,Mississippi Kite,Milan du Mississippi,Ictinia mississippiensis,MIKI,1.0
,Snail Kite,Milan des marais,Rostrhamus sociabilis,SNKI,2.0
,Common Black Hawk,Buse noire,Buteogallus anthracinus,COBH,2.0
,Harris's Hawk,Buse de Harris,Parabuteo unicinctus,HASH,1.0
,White-tailed Hawk,Buse à queue blanche,Geranoaetus albicaudatus,WTHA,2.0
,Gray Hawk,Buse grise,Buteo plagiatus,GRHA,2.0
,Red-shouldered Hawk,Buse à épaulettes,Buteo lineatus,RSHA,1.0
,Broad-winged Hawk,Petite Buse,Buteo platypterus,BWHA,1.0
,Hawaiian Hawk,Buse d'Hawaï,Buteo solitarius,HAWH,2.0
,Short-tailed Hawk,Buse à queue courte,Buteo brachyurus,STHA,2.0
,Swainson's Hawk,Buse de Swainson,Buteo swainsoni,SWHA,1.0
,Zone-tailed Hawk,Buse à queue barrée,Buteo albonotatus,ZTHA,2.0
,Red-tailed Hawk,Buse à queue rousse,Buteo jamaicensis,RTHA,1.0
,Rough-legged Hawk,Buse pattue,Buteo lagopus,RLHA,1.0
,Ferruginous Hawk,Buse rouilleuse,Buteo regalis,FEHA,1.0
,Barn Owl,Effraie des clochers,Tyto alba,BANO,1.0
,Flammulated Owl,Petit-duc nain,Psiloscops flammeolus,FLOW,2.0
,Whiskered Screech-Owl,Petit-duc à moustaches,Megascops trichopsis,WHSO,2.0
,Western Screech-Owl,Petit-duc des montagnes,Megascops kennicottii,WESO,1.0
,Eastern Screech-Owl,Petit-duc maculé,Megascops asio,EASO,1.0
,Great Horned Owl,Grand-duc d'Amérique,Bubo virginianus,GHOW,1.0
,Snowy Owl,Harfang des neiges,Bubo scandiacus,SNOW,2.0
,Northern Hawk Owl,Chouette épervière,Surnia ulula,NHOW,2.0
,Northern Pygmy-Owl,Chevêchette naine,Glaucidium gnoma,NOPO,2.0
,Elf Owl,Chevêchette des saguaros,Micrathene whitneyi,ELOW,2.0
,Burrowing Owl,Chevêche des terriers,Athene cunicularia,BUOW,1.0
,Spotted Owl,Chouette tachetée,Strix occidentalis,SPOW,2.0
,Barred Owl,Chouette rayée,Strix varia,BADO,1.0
,Great Gray Owl,Chouette lapone,Strix nebulosa,GGOW,2.0
,Long-eared Owl,Hibou moyen-duc,Asio otus,LEOW,2.0
,Short-eared Owl,Hibou des marais,Asio flammeus,SEOW,1.0
,Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,BOOW,2.0
,Northern Saw-whet Owl,Petite Nyctale,Aegolius acadicus,NSWO,2.0
,Elegant Trogon,Trogon élégant,Trogon elegans,ELTR,2.0
