scientific_name
Alopochen aegyptiaca
Larus glaucescens
Junco hyemalis
Poecile atricapillus
Somateria mollissima
Callipepla gambelii
Auriparus flaviceps
Poecile hudsonicus
Vireo vicinior
Contopus cooperi
Charadrius nivosus
Riparia riparia
Haemorhous purpureus
Larus californicus
Podiceps auritus
Leucosticte australis
Vermivora chrysoptera
Cypseloides niger
Petrochelidon pyrrhonota
Empidonax oberholseri
Mycteria americana
Myiarchus crinitus
Pipilo chlorurus
Molothrus ater
Setophaga petechia
Coccyzus minor
Vireo atricapilla
Parkesia noveboracensis
Sialia currucoides
Ictinia mississippiensis
Loxia sinesciuris
Troglodytes hiemalis
Thalasseus elegans
Athene cunicularia
Megascops asio
Falco sparverius
Bubulcus ibis
Archilochus colubris
Laterallus jamaicensis
Leucosticte atrata
Zenaida asiatica
Ammospiza nelsoni
Antrostomus arizonae
Loxia leucoptera
Setophaga striata
Empidonax minimus
Turdus migratorius
Pipilo maculatus
Limosa haemastica
Haemorhous mexicanus
Peucedramus taeniatus
Zenaida macroura
Anas platyrhynchos
Gymnogyps californianus
Charadrius montanus
Tyrannus couchii
Parkesia motacilla
Passerella iliaca
Catharus bicknelli
Setophaga fusca
Calidris virgata
Accipiter striatus
Buteo plagiatus
Eudocimus albus
Coccyzus americanus
Setophaga cerulea
Nyctidromus albicollis
Passerina ciris
Buteo regalis
Tringa melanoleuca
Columbina inca
Ardea alba
Sialia mexicana
Larus delawarensis
Sphyrapicus nuchalis
Catharus guttatus
Stercorarius pomarinus
Recurvirostra americana
Geococcyx californianus
Baeolophus wollweberi
Phalaropus lobatus
Leiothlypis peregrina
Charadrius wilsonia
Pica hudsonia
Gelochelidon nilotica
Setophaga townsendi
Aphelocoma coerulescens
Sturnus vulgaris
Centrocercus urophasianus
Arenaria melanocephala
Numenius americanus
Glaucidium gnoma
Thalasseus maximus
Patagioenas fasciata
Quiscalus mexicanus
Somateria spectabilis
Brotogeris chiriri
Contopus sordidulus
Coccothraustes vespertinus
Passerina cyanea
Agelaius phoeniceus
Calcarius pictus
Melanitta americana
Setophaga discolor
Bombycilla garrulus
Arenaria interpres
Centronyx bairdii
Pooecetes gramineus
Hydroprogne caspia
Calidris pusilla
Aratinga nenday
Trogon elegans
Anthus spragueii
Aix sponsa
Cardinalis sinuatus
Salpinctes obsoletus
Dumetella carolinensis
Vireo griseus
Butorides virescens
Chordeiles acutipennis
Anas rubripes
Empidonax fulvifrons
Vireo cassinii
Melanerpes aurifrons
Setophaga chrysoparia
Contopus virens
Plectrophenax nivalis
Polioptila californica
Hylocichla mustelina
Colaptes chrysoides
Anas diazi
Megascops trichopsis
Vireo philadelphicus
Podilymbus podiceps
Campylorhynchus brunneicapillus
Antrostomus vociferus
Melospiza georgiana
Elanoides forficatus
Melanerpes formicivorus
Clangula hyemalis
Pluvialis fulva
Setophaga coronata
Loxia curvirostra
Megascops kennicottii
Oporornis agilis
Spinus pinus
Anser rossii
Antrostomus carolinensis
Larus marinus
Calidris subruficollis
Melanitta perspicillata
Setophaga castanea
Limnodromus scolopaceus
Eremophila alpestris
Mareca penelope
Spizelloides arborea
Limosa fedoa
Toxostoma bendirei
Ortalis vetula
Calidris minutilla
Pitangus sulphuratus
Spinus tristis
Gavia arctica
Sialia sialis
Anser caerulescens
Podiceps nigricollis
Geothlypis formosa
Toxostoma rufum
Icterus bullockii
Cinclus mexicanus
Spizella atrogularis
Tyrannus vociferans
Artemisiospiza belli
Buteo jamaicensis
Calidris bairdii
Fregata magnificens
Amazilia yucatanensis
Vireo olivaceus
Cardellina rubrifrons
Setophaga occidentalis
Larus heermanni
Dryobates arizonae
Calidris ptilocnemis
Molothrus aeneus
Bucephala albeola
Melospiza melodia
Sterna paradisaea
Cistothorus palustris
Streptopelia chinensis
Catharus ustulatus
Melanitta deglandi
Pyrocephalus rubinus
Ixobrychus exilis
Falco peregrinus
Chordeiles gundlachii
Melanerpes lewis
Regulus satrapa
Nucifraga columbiana
Leiothlypis celata
Myiarchus cinerascens
Chondestes grammacus
Chroicocephalus philadelphia
Dendrocygna autumnalis
Junco phaeonotus
Spizella pusilla
Anas fulvigula
Acridotheres tristis
Bucephala islandica
Cyrtonyx montezumae
Zonotrichia atricapilla
Brachyramphus marmoratus
Calypte anna
Setophaga ruticilla
Myiarchus tyrannulus
Cygnus olor
Aphelocoma wollweberi
Toxostoma longirostre
Chamaea fasciata
Pelecanus erythrorhynchos
Colaptes auratus
Aythya collaris
Gavia adamsii
Stelgidopteryx serripennis
Sayornis saya
Himantopus mexicanus
Dolichonyx oryzivorus
Icteria virens
Psaltriparus minimus
Ammospiza leconteii
Leiothlypis virginiae
Leucolia violiceps
Anhinga anhinga
Buteo platypterus
Poecile rufescens
Tyto alba
Artemisiospiza nevadensis
Bucephala clangula
Hirundo rustica
Scolopax minor
Cardinalis cardinalis
Stercorarius longicaudus
Calcarius ornatus
Nyctanassa violacea
Dryobates nuttallii
Tringa incana
Empidonax occidentalis
Tringa solitaria
Selasphorus rufus
Histrionicus histrionicus
Icterus graduacauda
